course_id,course_name,credits,cycle,subject_type_id,evaluation_system_id,total_weekly_hours,weekly_theory_hours,weekly_practice_hours,weekly_practice_laboratory_hours,weekly_laboratory_hours,max_cycle,min_cycle,note,required_credits,position
CB101,Geometría Analitica,3,1,1,6,4,2,,2,,,,"",,
CB121,Cálculo Diferencial,5,1,1,6,6,4,,2,,,,"",,
CB211,Quimica Basica,4,1,1,6,6,3,,3,,,,"",,
GP101,Introducción a la Ingeniería Industrial,3,1,1,7,4,2,,2,,,,"",,
HS101,Desarrollo personal,2,1,1,4,3,1,,2,,,,"",,
HS111,Técnicas de comunicación,3,1,1,4,4,2,,2,,,,"",,
TP301,Dibujo De Ingenieria-,3,1,1,5,5,2,,3,,,,"",,
CB111,Algebra Lineal,3,2,1,6,4,2,,2,,,,"",,
CB131,Cálculo Integral,5,2,1,6,6,4,,2,,,,"",,
CB221,Quimica Industrial I,3,2,1,6,5,2,,3,,,,"",,
HS121,Metodología de la Investigación Científica,3,2,1,4,4,2,,2,,,,"",,
HS141,Filosofía y Etica,2,2,1,4,2,2,,,,,,"",,
ST111,Teoría de Sistemas,3,2,1,7,4,2,,2,,,,"",,
ST221,Algoritmo y Estructura de Datos,3,2,1,7,4,2,,2,,,,"",,
CB112,Matemática Discreta,3,3,1,6,4,2,,2,,,,"",,
CB132,Cálculo Multivariable,5,3,1,6,6,4,,2,,,,"",,
CB222,Química Industrial II,3,3,1,6,5,2,,3,,,,"",,
CB302,Física I,5,3,1,6,7,4,,3,,,,"",,
CB402,Estadítica y Probabilidades,3,3,1,6,4,2,,2,,,,"",,
HS131,Sociología,2,3,1,2,2,2,,,,,,"",,
HS201,Constitución y Derechos Humanos,2,3,1,2,3,1,,2,,,,"",,
CB142,Ecuaciones Diferenciales,5,4,1,6,6,4,,2,,,,"",,
CB312,Física II,5,4,1,6,7,4,,3,,,,"",,
GP112,Diseno Del Trabajo I,4,4,1,7,5,3,,2,,,,"",,
GP202,Microeconomia,3,4,1,6,4,2,,2,,,,"",,
ST222,Lenguajes De Programacion,3,4,1,6,4,2,,2,,,,"",,
TP302,Diseño Asistido por Computadora,3,4,1,4,4,2,,2,,,,"",,
GP123,Administracion Y Organizacion,3,5,1,6,4,2,,2,,,,"",,
GP203,Macroeconomia,3,5,1,6,4,2,,2,,,,"",,
GP223,Contabilidad Financiera,3,5,1,7,4,2,,2,,,,"",,
ST113,Investigacion De Operaciones I,3,5,1,7,4,2,,2,,,,"",,
TP103,Electricidad Y Electronica Industrial,3,5,1,6,4,2,,2,,,,"",,
TP203,Maquinaria E Instrumentacion Industrial,2,5,1,6,4,,,4,,,,"",,
